run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,baseline,0.05,0.0,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.119,3201550.617,288.69,118441.378,0.133,0,0.615,1.063,0.348,0.011,0.0,1.422,2,14,6,0.229,,validation_normalized_operational_loss,0.97,,
quick,baseline,0.05,0.0,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.014,0.0,1.429,3,12,7,0.236,,validation_wape,0.951,,
quick,baseline,0.05,0.0,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.014,0.0,1.429,3,12,7,0.236,,blocked_cv_normalized_planning_loss,0.951,1.0,1.602
quick,baseline,0.05,0.0,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.004,0.0,1.434,5,15,5,0.242,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.03,0.0,1.459,1,15,6,-0.095,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.12,3222711.072,281.129,103259.642,0.122,0,0.598,1.07,0.339,0.064,0.0,1.473,2,14,7,-0.081,,validation_normalized_operational_loss,0.975,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.119,3204681.415,286.715,114912.077,0.131,0,0.606,1.064,0.345,0.072,0.0,1.481,3,13,8,-0.073,,blocked_cv_normalized_planning_loss,0.97,0.25,1.686
quick,dataco_high,0.341,0.581,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.096,0.0,1.511,4,12,9,-0.044,,validation_wape,0.951,,
quick,dataco_low,0.318,0.535,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.028,0.0,1.457,1,15,6,-0.069,,,,,
quick,dataco_low,0.318,0.535,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.12,3220973.729,281.708,104381.142,0.122,0,0.599,1.07,0.339,0.061,0.0,1.47,2,14,7,-0.056,,validation_normalized_operational_loss,0.975,,
