run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,baseline,0.05,0.0,dataco_derived,False,Oracle,Oracle,,oracle_realized_demand,0.0,1633182.571,487.867,680523.022,0.345,0,1.351,0.542,0.588,0.062,0.0,1.193,1,1,16,0.0,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.119,3201550.617,288.69,118441.378,0.133,0,0.615,1.063,0.348,0.011,0.0,1.422,2,14,6,0.229,,validation_normalized_operational_loss,0.97,,
quick,baseline,0.05,0.0,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.014,0.0,1.429,3,12,7,0.236,,validation_wape,0.951,,
quick,baseline,0.05,0.0,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.014,0.0,1.429,3,12,7,0.236,,blocked_cv_normalized_planning_loss,0.951,1.0,1.602
quick,baseline,0.05,0.0,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.004,0.0,1.434,5,15,5,0.242,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Best Inventory,Baseline,,best_inventory_cost_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.05,0.0,1.55,6,6,14,0.357,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Global Best,Baseline,,global_best_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.05,0.0,1.55,6,6,14,0.357,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Family Best,Baseline,,family_best_model,0.11,3064462.341,411.535,537406.724,0.279,0,0.764,1.018,0.496,0.049,0.0,1.563,8,9,13,0.37,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.015,1.646,9,8,3,0.454,0.25,,,,1.996
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3593970.514,223.073,24465.198,0.042,132,0.383,1.194,0.269,0.002,0.223,1.687,10,2,4,0.495,0.5,,,,2.068
quick,baseline,0.05,0.0,dataco_derived,False,Best Stability,Baseline,,best_stability_model,0.188,5263648.54,14.814,0.0,0.0,0,0.184,1.748,0.018,0.0,0.0,1.766,11,16,1,0.573,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,12,5,1,0.643,0.1,,,,1.98
quick,baseline,0.05,0.0,dataco_derived,False,Stability-Aware,Baseline,,stability_aware_selector,0.113,3251369.903,384.274,402775.817,0.258,213,0.531,1.08,0.463,0.037,0.359,1.939,13,10,12,0.746,,,,,
quick,baseline,0.05,0.0,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.108,3156505.409,315.632,171810.1,0.164,380,0.525,1.048,0.38,0.016,0.641,2.085,14,3,9,0.893,0.75,,,,1.986
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.108,3156505.409,315.632,171810.1,0.164,380,0.525,1.048,0.38,0.016,0.641,2.085,14,3,9,0.893,0.75,,,,1.986
quick,baseline,0.05,0.0,dataco_derived,False,Feasibility-Aware,Baseline,,feasibility_aware_selector,0.116,3375551.068,364.328,365116.914,0.232,781,0.581,1.121,0.439,0.033,1.317,2.911,16,11,11,1.718,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.03,0.0,1.459,1,15,6,-0.095,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.12,3222711.072,281.129,103259.642,0.122,0,0.598,1.07,0.339,0.064,0.0,1.473,2,14,7,-0.081,,validation_normalized_operational_loss,0.975,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.119,3204681.415,286.715,114912.077,0.131,0,0.606,1.064,0.345,0.072,0.0,1.481,3,13,8,-0.073,,blocked_cv_normalized_planning_loss,0.97,0.25,1.686
quick,dataco_high,0.341,0.581,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.096,0.0,1.511,4,12,9,-0.044,,validation_wape,0.951,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Oracle,Oracle,,oracle_realized_demand,0.0,1633182.571,487.867,680523.022,0.345,0,1.351,0.542,0.588,0.424,0.0,1.555,5,1,16,0.0,,,,,
quick,dataco_high,0.341,0.581,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,0.101,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,0.101,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Best Stability,Baseline,,best_stability_model,0.188,5263648.54,14.814,0.0,0.0,0,0.184,1.748,0.018,0.0,0.0,1.766,8,16,1,0.211,,,,,
