scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
baseline,0.05,WAPE,Oracle,Oracle,oracle_realized_demand,0.0,1
baseline,0.05,WAPE,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.108,2
baseline,0.05,WAPE,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.108,3
baseline,0.05,WAPE,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.108,3
baseline,0.05,WAPE,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.109,5
baseline,0.05,WAPE,Best Inventory,Baseline,best_inventory_cost_model,0.109,6
baseline,0.05,WAPE,Global Best,Baseline,global_best_model,0.109,6
baseline,0.05,WAPE,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.109,8
baseline,0.05,WAPE,Family Best,Baseline,family_best_model,0.11,9
baseline,0.05,WAPE,Stability-Aware,Baseline,stability_aware_selector,0.113,10
baseline,0.05,WAPE,Feasibility-Aware,Baseline,feasibility_aware_selector,0.116,11
baseline,0.05,WAPE,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.117,12
baseline,0.05,WAPE,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.117,12
baseline,0.05,WAPE,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.119,14
baseline,0.05,WAPE,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.129,15
baseline,0.05,WAPE,Best Stability,Baseline,best_stability_model,0.188,16
baseline,0.05,execution_penalty,Best Stability,Baseline,best_stability_model,0.0,1
baseline,0.05,execution_penalty,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.0,1
baseline,0.05,execution_penalty,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,102.215,3
baseline,0.05,execution_penalty,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,24465.198,4
baseline,0.05,execution_penalty,Simple Ensemble,ReferenceEnsemble,simple_ensemble,47421.135,5
baseline,0.05,execution_penalty,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,118441.378,6
baseline,0.05,execution_penalty,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,154524.33,7
baseline,0.05,execution_penalty,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,154524.33,7
baseline,0.05,execution_penalty,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,171810.1,9
baseline,0.05,execution_penalty,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,171810.1,9
baseline,0.05,execution_penalty,Feasibility-Aware,Baseline,feasibility_aware_selector,365116.914,11
