run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_dp_oracle,gap_to_perfect_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.015,1.646,9,8,3,,,0.25,,,,1.996
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3593970.514,223.073,24465.198,0.042,132,0.383,1.194,0.269,0.002,0.223,1.6869999999999998,10,2,4,,,0.5,,,,2.068
quick,baseline,0.05,0.0,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,12,5,1,,,0.1,,,,1.98
quick,baseline,0.05,0.0,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.108,3156505.409,315.632,171810.1,0.16399999999999998,380,0.525,1.048,0.38,0.016,0.6409999999999999,2.085,14,3,9,,,0.75,,,,1.986
quick,baseline,0.05,0.0,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.108,3156505.409,315.632,171810.1,0.16399999999999998,380,0.525,1.048,0.38,0.016,0.6409999999999999,2.085,14,3,9,,,0.75,,,,1.986
quick,dataco_high,0.341,0.581,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,,,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,7,3,,,0.25,,,,1.994
quick,dataco_high,0.341,0.581,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,9,3,1,,,0.1,,,,1.98
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3603641.853,222.281,22311.979,0.041,162,0.383,1.197,0.268,0.014,0.4320000000000001,1.911,13,2,5,,,0.5,,,,2.08
quick,dataco_high,0.341,0.581,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.109,3171084.953,313.946,162839.995,0.16,444,0.526,1.053,0.378,0.102,1.1840000000000002,2.717,15,6,10,,,0.75,,,,2.074
