Strategy,Mean Plan Change,Large Jumps,Model Switches,Execution Violations,Execution Violation Rate
Best Stability,0.005,0,0,0,0.0
Moving Avg.,0.005,0,0,0,0.0
Exp. Smooth,0.049,6,0,22,0.008
Simple Ensemble,0.088,66,0,186,0.069
Feasibility-Aware,0.13,443,781,651,0.241
Stability-Aware,0.137,475,213,722,0.267
XGBoost,0.144,544,0,754,0.279
Family Best,0.147,558,0,782,0.29
Best Inventory,0.148,574,0,794,0.294
Global Best,0.148,574,0,794,0.294
LightGBM,0.148,574,0,794,0.294
Oracle,0.174,695,0,967,0.358
Naive,0.177,711,0,983,0.364
Seasonal,0.185,769,0,1061,0.393
