dataset_name,run_mode,grain_level,intermittency_bucket,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,max_switches
m5,quick,item_store,all,K_0,Smoothed Alpha 0.25,True,none,False,none,none,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.025,0.008,0.0,1.053,-0.105,-1.837,8,1,1,feasibility_aware_smoothed_alpha_0_25,0
m5,quick,item_store,all,K_0,Operational Ensemble,True,none,False,none,none,0.341,102974.955,142511741.081,1365.78,0.096,0,0.93,0.088,0.107,0.0,1.125,-0.033,-1.765,5,6,2,operational_loss_ensemble,0
m5,quick,item_store,all,K_0,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.227,66148.258,38970829.598,4353.95,0.256,3605,0.598,0.024,0.34,0.196,1.158,0.0,-1.732,2,7,3,full_outcome_oracle_dp_feasibility_selector,0
m5,quick,item_store,all,K_0,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.227,66148.258,38970829.598,4353.95,0.256,3605,0.598,0.024,0.34,0.196,1.158,0.0,-1.732,2,7,3,oracle_dp_feasibility_selector,0
m5,quick,item_store,all,K_0,Global Best,True,none,False,none,none,0.368,110676.328,162696085.273,1279.259,0.089,0,1.0,0.1,0.1,0.0,1.2,0.042,-1.69,8,5,5,global_best_model,0
m5,quick,item_store,all,K_0,Simple Ensemble,True,none,False,none,none,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.111,0.348,0.0,1.359,0.201,-1.53,4,9,6,simple_ensemble,0
m5,quick,item_store,all,K_0,DP Feasibility,True,none,False,none,none,0.349,107032.681,695866260.115,435.634,0.041,885,0.967,0.428,0.034,0.048,1.477,0.319,-1.413,6,2,7,dp_feasibility_selector,0
m5,quick,item_store,all,K_0,Budgeted DP,True,none,False,none,none,0.369,110034.696,696614357.046,877.811,0.03,0,0.994,0.428,0.069,0.0,1.491,0.333,-1.399,10,3,8,budgeted_dp_feasibility_selector,0
m5,quick,item_store,all,K_0,Greedy Feasibility,True,none,False,none,none,0.373,115577.18,698994810.268,1043.209,0.064,920,1.044,0.43,0.082,0.05,1.605,0.448,-1.284,11,4,9,greedy_feasibility_selector,0
m5,quick,item_store,all,K_0,Feasibility-Aware,True,none,False,none,none,0.365,110115.973,698995030.145,6545.42,0.151,378,0.995,0.43,0.512,0.021,1.957,0.799,-0.933,7,10,10,feasibility_aware_selector,0
m5,quick,item_store,all,K_0,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,30439.038,1012058598.054,25490.556,0.543,0,0.275,0.622,1.993,0.0,2.89,1.732,0.0,1,11,11,oracle_realized_demand,0
m5,quick,item_store,all,K_0,Best Stability,True,none,False,none,none,0.408,120773.556,98996562.163,26601.482,0.552,0,1.091,0.061,2.079,0.0,3.232,2.074,0.342,12,12,12,best_stability_model,0
m5,quick,item_store,all,K_1,Smoothed Alpha 0.25,True,none,False,none,none,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.025,0.008,0.0,1.053,-0.109,-1.837,9,1,1,feasibility_aware_smoothed_alpha_0_25,1
m5,quick,item_store,all,K_1,Operational Ensemble,True,none,False,none,none,0.341,102974.955,142511741.081,1365.78,0.096,0,0.93,0.088,0.107,0.0,1.125,-0.037,-1.765,5,6,2,operational_loss_ensemble,1
m5,quick,item_store,all,K_1,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.227,66148.258,38970829.598,4353.95,0.256,3605,0.598,0.024,0.34,0.2,1.162,0.0,-1.728,2,7,3,full_outcome_oracle_dp_feasibility_selector,1
m5,quick,item_store,all,K_1,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.227,66148.258,38970829.598,4353.95,0.256,3605,0.598,0.024,0.34,0.2,1.162,0.0,-1.728,2,7,3,oracle_dp_feasibility_selector,1
