source_table,dataset_name,evaluation_group_count,accuracy_first_not_operational_best_rate,mean_accuracy_first_loss_gap,accuracy_first_planning_execution_gap_rate,best_deployable_planning_execution_gap_rate,relative_gap_reduction,greedy_to_dp_gap,mean_gap_to_dp_oracle,mean_gap_to_perfect_oracle
overall,all,123,0.911,11.169,0.154,0.027,0.4,0.044,0.198,-8.936
execution_capacity_stress_test,favorita,4,1.0,0.881,0.412,0.112,0.76,,,-0.011
favorita_baseline_weights_comparison,favorita,1,1.0,0.983,0.284,0.066,0.766,,,-0.049
favorita_dataco_informed_weight_sensitivity,favorita,5,1.0,0.35,0.284,0.066,0.766,,,0.371
favorita_improved_feasibility_methods,favorita,5,1.0,0.407,0.042,0.08,-0.909,,,0.41
favorita_method_family_summary,favorita,5,1.0,0.382,0.0,0.08,,,,0.418
m5_dataco_scenario_robustness,m5,5,1.0,1.355,0.233,0.01,0.955,,,-6.369
m5_hierarchy_sensitivity,m5,3,0.667,1.237,0.143,0.058,0.433,,,-5.681
m5_intermittent_demand_stress,m5,3,1.0,5.783,0.233,0.01,0.97,,,-44.401
m5_large_scale_replication,m5,1,1.0,3.712,0.233,0.01,0.955,,,-17.046
m5_robustness_summary,m5,10,0.9,2.743,0.206,0.025,0.803,,,-18.172
m5_switch_budget_sensitivity,m5,5,1.0,0.306,0.233,0.01,0.955,0.129,0.448,-1.281
pareto_summary,favorita,1,1.0,0.983,0.284,0.066,0.766,,,0.09
walmart_context_robustness_summary,walmart,10,0.9,0.079,0.02,0.013,0.03,0.044,0.237,-2.701
walmart_holiday_markdown_stress_by_window,walmart,8,0.875,0.017,0.017,0.014,-0.097,0.019,0.087,-1.536
walmart_robustness_summary,walmart,20,0.8,0.046,0.02,0.015,-0.024,0.035,0.167,-2.004
walmart_switch_budget_sensitivity,walmart,5,0.8,0.024,0.008,0.02,-1.4,0.029,0.192,-0.654
walmart_weekly_cadence_constraints,walmart,2,0.0,0.0,0.029,0.029,0.0,0.053,0.136,-0.388
weight_sensitivity_results,favorita,30,1.0,43.339,0.284,0.013,0.953,,,-21.146
