dataset_name,run_mode,scenario_name,strategy,method_name,history_only_WAPE,history_plus_context_WAPE,context_minus_history_WAPE,history_only_inventory_cost,history_plus_context_inventory_cost,context_minus_history_inventory_cost,history_only_planning_volatility,history_plus_context_planning_volatility,context_minus_history_planning_volatility,history_only_execution_penalty,history_plus_context_execution_penalty,context_minus_history_execution_penalty,history_only_execution_violation_rate,history_plus_context_execution_violation_rate,context_minus_history_execution_violation_rate,history_only_model_switch_count,history_plus_context_model_switch_count,context_minus_history_model_switch_count,history_only_normalized_total_loss,history_plus_context_normalized_total_loss,context_minus_history_normalized_total_loss,history_only_gap_to_dp_oracle,history_plus_context_gap_to_dp_oracle,context_minus_history_gap_to_dp_oracle,history_only_gap_to_perfect_oracle,history_plus_context_gap_to_perfect_oracle,context_minus_history_gap_to_perfect_oracle
walmart,quick,baseline,budgeted_dp_feasibility_selector,Budgeted DP,0.058,0.058,-0.0,21046026.983,20785375.99,-260650.994,105.679,102.452,-3.227,33893.868,33796.04,-97.828,0.01,0.009,-0.001,130.0,128.0,-2.0,1.171,1.182,0.011,0.113,0.065,-0.047,0.172,-0.041,-0.213
walmart,quick,baseline,dp_feasibility_selector,DP Feasibility,0.057,0.057,-0.0,20892354.782,20663849.34,-228505.442,106.277,104.517,-1.76,33642.812,33619.968,-22.844,0.009,0.008,-0.0,271.0,241.0,-30.0,1.191,1.202,0.011,0.133,0.086,-0.048,0.192,-0.021,-0.213
walmart,quick,baseline,global_best_model,Global Best,0.057,0.057,0.001,20308380.148,20167239.29,-141140.857,120.617,109.817,-10.799,80087.213,56342.083,-23745.13,0.031,0.028,-0.003,0.0,0.0,0.0,1.15,1.15,0.0,0.092,0.034,-0.058,0.151,-0.073,-0.224
walmart,quick,baseline,greedy_feasibility_selector,Greedy Feasibility,0.059,0.058,-0.001,21737146.588,21114985.247,-622161.341,114.165,111.922,-2.243,36121.458,35568.827,-552.631,0.011,0.01,-0.001,240.0,222.0,-18.0,1.235,1.228,-0.006,0.177,0.112,-0.064,0.236,0.006,-0.23
walmart,quick,baseline,operational_loss_ensemble,Operational Ensemble,0.061,0.061,0.0,22993453.042,23046861.444,53408.402,90.574,84.903,-5.671,39608.755,36983.469,-2625.285,0.02,0.019,-0.001,0.0,0.0,0.0,1.232,1.253,0.021,0.174,0.137,-0.037,0.233,0.03,-0.203
walmart,quick,baseline,oracle_realized_demand,Realized Demand Oracle,0.0,0.0,0.0,6203852.169,6203852.169,0.0,261.641,261.641,0.0,762653.598,762653.598,0.0,0.114,0.114,0.0,0.0,0.0,0.0,0.999,1.223,0.224,-0.059,0.107,0.166,0.0,0.0,0.0
walmart,quick,baseline,oracle_dp_feasibility_selector,Realized-Inventory Oracle DP,0.038,0.038,0.0,11871181.507,11822607.141,-48574.365,133.958,139.044,5.085,12123.827,12227.882,104.055,0.014,0.014,-0.0,1812.0,1817.0,5.0,1.058,1.116,0.058,0.0,0.0,0.0,0.059,-0.107,-0.166
walmart,quick,baseline,simple_ensemble,Simple Ensemble,0.06,0.06,0.0,22666362.424,22650598.965,-15763.459,107.258,104.078,-3.18,47751.305,45714.472,-2036.834,0.024,0.025,0.001,0.0,0.0,0.0,1.235,1.258,0.024,0.177,0.142,-0.035,0.236,0.036,-0.201
walmart,quick,dataco_high,budgeted_dp_feasibility_selector,Budgeted DP,0.058,0.058,-0.0,21046026.983,20785375.99,-260650.994,105.679,102.452,-3.227,33893.868,33796.04,-97.828,0.01,0.009,-0.001,130.0,128.0,-2.0,1.294,1.356,0.062,0.192,0.177,-0.015,-2.472,-3.8,-1.328
walmart,quick,dataco_high,dp_feasibility_selector,DP Feasibility,0.057,0.057,-0.0,20892354.782,20663849.34,-228505.442,106.277,104.517,-1.76,33642.812,33619.968,-22.844,0.009,0.008,-0.0,271.0,241.0,-30.0,1.313,1.375,0.062,0.211,0.196,-0.015,-2.452,-3.781,-1.328
