dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,7882543.969,100.331,11347.603,0.017,1309,1.949,0.6,0.107,0.017,0.328,1.052,0.0,-0.101,2,1,1,oracle_dp_feasibility_selector
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,4115833.731,194.115,422645.826,0.123,0,5.459,0.313,0.207,0.632,0.0,1.152,0.101,0.0,1,8,2,oracle_realized_demand
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Budgeted DP,True,none,False,none,none,0.058,13550293.578,76.851,32374.772,0.011,102,4.143,1.031,0.082,0.048,0.026,1.187,0.135,0.035,5,4,3,budgeted_dp_feasibility_selector
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Global Best,True,none,False,none,none,0.057,13141862.485,93.868,66845.875,0.036,0,3.912,1.0,0.1,0.1,0.0,1.2,0.148,0.048,3,7,4,global_best_model
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,DP Feasibility,True,none,False,none,none,0.057,13405197.135,77.169,32123.493,0.009,213,4.143,1.02,0.082,0.048,0.053,1.204,0.152,0.051,4,3,5,dp_feasibility_selector
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Operational Ensemble,True,none,False,none,none,0.061,14722668.539,69.087,30977.986,0.021,0,3.119,1.12,0.074,0.046,0.0,1.24,0.188,0.088,8,2,6,operational_loss_ensemble
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Simple Ensemble,True,none,False,none,none,0.06,14487117.04,81.613,35526.693,0.026,0,3.439,1.102,0.087,0.053,0.0,1.242,0.191,0.09,7,6,7,simple_ensemble
walmart,quick,history_only,holiday_markdown_stress,normal,baseline,Greedy Feasibility,True,none,False,none,none,0.059,14063617.514,83.588,34606.282,0.013,186,4.143,1.07,0.089,0.052,0.047,1.258,0.206,0.105,6,5,8,greedy_feasibility_selector
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Budgeted DP,True,none,False,none,none,0.071,2526532.541,9.084,165.498,0.005,9,1.542,1.049,0.109,0.003,0.026,1.186,-0.046,-2.988,5,2,1,budgeted_dp_feasibility_selector
walmart,quick,history_only,holiday_markdown_stress,holiday,baseline,Global Best,True,none,False,none,none,0.069,2409172.941,8.35,5554.443,0.015,0,0.596,1.0,0.1,0.1,0.0,1.2,-0.032,-2.974,3,7,2,global_best_model
