dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,module_name
walmart,quick,history_only,context_robustness,all,baseline,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,0.476,0.0,0.999,-0.059,0.0,1,8,1,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.008,0.355,1.058,0.0,0.059,2,1,2,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.05,0.0,1.15,0.092,0.151,3,7,3,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.021,0.025,1.171,0.113,0.172,5,3,4,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.021,0.053,1.191,0.133,0.192,4,2,5,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.025,0.0,1.232,0.174,0.233,8,5,6,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.023,0.047,1.235,0.177,0.236,6,4,7,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,baseline,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.03,0.0,1.235,0.177,0.236,7,6,8,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.048,0.355,1.098,0.0,-2.448,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.134,0.025,1.284,0.186,-2.263,5,3,2,budgeted_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,DP Feasibility,True,none,False,none,none,0.057,20892354.782,106.277,33642.812,0.009,271,4.143,1.029,0.088,0.133,0.053,1.303,0.205,-2.243,4,2,3,dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Greedy Feasibility,True,none,False,none,none,0.059,21737146.588,114.165,36121.458,0.011,240,4.143,1.07,0.095,0.143,0.047,1.355,0.257,-2.191,6,4,4,greedy_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.157,0.0,1.364,0.266,-2.182,8,5,5,operational_loss_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.189,0.0,1.394,0.296,-2.152,7,6,6,simple_ensemble,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.318,0.0,1.418,0.319,-2.129,3,7,7,global_best_model,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_low,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,3.024,0.0,3.547,2.448,0.0,1,8,8,oracle_realized_demand,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.049,0.355,1.1,0.0,-2.528,2,1,1,oracle_dp_feasibility_selector,context_robustness
walmart,quick,history_only,context_robustness,all,dataco_median,Budgeted DP,True,none,False,none,none,0.058,21046026.983,105.679,33893.868,0.01,130,4.143,1.036,0.088,0.138,0.025,1.287,0.188,-2.34,5,3,2,budgeted_dp_feasibility_selector,context_robustness
