dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,max_switches
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.088,0.823,0.0,-1.077,2,1,1,full_outcome_oracle_dp_feasibility_selector,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.088,0.823,0.0,-1.077,2,1,1,oracle_dp_feasibility_selector,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.012,1.191,0.368,-0.708,4,3,3,dp_feasibility_selector,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,0.377,-0.699,5,8,4,global_best_model,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Budgeted DP,True,none,False,none,none,0.059,21330142.884,93.342,35888.222,0.012,0,4.143,1.058,0.085,0.064,0.0,1.206,0.384,-0.693,7,5,5,budgeted_dp_feasibility_selector,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.063,0.011,1.223,0.4,-0.677,6,4,6,greedy_feasibility_selector,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.463,-0.614,9,6,7,operational_loss_ensemble,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.476,-0.6,8,7,8,simple_ensemble,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_0,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,1.077,0.0,1,9,9,oracle_realized_demand,0
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,full_outcome_oracle_dp_feasibility_selector,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,oracle_dp_feasibility_selector,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Budgeted DP,True,none,False,none,none,0.058,20867134.303,102.284,34413.335,0.01,50,4.143,1.035,0.093,0.061,0.01,1.199,0.088,-0.7,6,4,3,budgeted_dp_feasibility_selector,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,0.088,-0.699,5,8,4,global_best_model,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.06,0.05,1.229,0.118,-0.67,4,3,5,dp_feasibility_selector,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.063,0.046,1.258,0.147,-0.641,7,5,6,greedy_feasibility_selector,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.174,-0.614,9,6,7,operational_loss_ensemble,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.188,-0.6,8,7,8,simple_ensemble,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_1,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.788,0.0,1,9,9,oracle_realized_demand,1
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Full-Outcome Oracle DP,False,full_outcome_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,full_outcome_oracle_dp_feasibility_selector,2
walmart,quick,history_plus_context,switch_budget_sensitivity,all,K_2,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.377,1.112,0.0,-0.788,2,1,1,oracle_dp_feasibility_selector,2
