dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11871181.507,133.958,12123.827,0.014,1812,1.949,0.585,0.111,0.015,0.414,1.124,0.0,-0.35,2,1,1,oracle_dp_feasibility_selector
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Global Best,True,none,False,none,none,0.057,20308380.148,120.617,80087.213,0.031,0,3.912,1.0,0.1,0.1,0.0,1.2,0.076,-0.275,3,5,2,global_best_model
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Budgeted DP,True,none,False,none,none,0.058,21051365.157,111.252,77726.4,0.017,118,4.143,1.037,0.092,0.097,0.027,1.253,0.128,-0.222,5,4,3,budgeted_dp_feasibility_selector
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Operational Ensemble,True,none,False,none,none,0.061,22993453.042,90.574,39608.755,0.02,0,3.119,1.132,0.075,0.049,0.0,1.257,0.132,-0.218,8,2,4,operational_loss_ensemble
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Simple Ensemble,True,none,False,none,none,0.06,22666362.424,107.258,47751.305,0.024,0,3.439,1.116,0.089,0.06,0.0,1.265,0.14,-0.21,7,3,5,simple_ensemble
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,DP Feasibility,True,none,False,none,none,0.058,20957913.234,111.816,97687.589,0.017,225,4.143,1.032,0.093,0.122,0.051,1.298,0.174,-0.177,4,6,6,dp_feasibility_selector
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Greedy Feasibility,True,none,False,none,none,0.059,21749818.252,119.061,128611.004,0.017,213,4.143,1.071,0.099,0.161,0.049,1.379,0.254,-0.096,6,7,7,greedy_feasibility_selector
walmart,quick,history_only,weekly_cadence_constraints,all,weekly_cadence,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.305,0.217,0.952,0.0,1.475,0.35,0.0,1,8,8,oracle_realized_demand
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.1,0.0,1.2,-0.002,-0.699,3,4,1,global_best_model
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.022,0.467,1.202,0.0,-0.698,2,1,2,oracle_dp_feasibility_selector
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.066,0.0,1.286,0.084,-0.614,8,2,3,operational_loss_ensemble
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.081,0.0,1.299,0.097,-0.6,7,3,4,simple_ensemble
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Budgeted DP,True,none,False,none,none,0.058,20781310.84,108.51,87732.746,0.015,115,4.143,1.03,0.099,0.156,0.03,1.315,0.113,-0.585,5,5,5,budgeted_dp_feasibility_selector
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,DP Feasibility,True,none,False,none,none,0.058,20671384.576,110.431,129735.072,0.016,197,4.143,1.025,0.101,0.23,0.051,1.406,0.205,-0.493,4,7,6,dp_feasibility_selector
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Greedy Feasibility,True,none,False,none,none,0.059,21167717.077,116.864,127885.794,0.017,192,4.143,1.05,0.106,0.227,0.049,1.432,0.231,-0.467,6,6,7,greedy_feasibility_selector
walmart,quick,history_plus_context,weekly_cadence_constraints,all,weekly_cadence,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,1.354,0.0,1.899,0.698,0.0,1,8,8,oracle_realized_demand
